대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
202,202. 국민일보 앞,44756,3946.0,16104.0,9553.0,35.98176780766825,21.344624184466888,2,2
203,203. 국회의사당역 3번출구 옆,27427,7273.0,8508.0,2830.0,31.02052721770518,10.318299485908048,2,2
204,204. 국회의사당역 5번출구 옆,18832,2831.0,5537.0,2935.0,29.402081563296516,15.58517417162277,3,3
205,205. 산업은행 앞,20165,1196.0,6913.0,5515.0,34.28217208033722,27.349367716340193,3,3
206,206. KBS 앞,33082,2444.0,11205.0,7233.0,33.87038268544828,21.863853455051085,2,3
207,207. 여의나루역 1번출구 앞,47872,4473.0,11375.0,15189.0,23.761280080213904,31.72835895721925,2,2
209,209. 유진투자증권빌딩 앞,47705,2420.0,17419.0,11453.0,36.51399224399958,24.007965622052197,2,2
211,211. 여의도역 4번출구 옆,3,0.0,0.0,2.0,0.0,66.66666666666666,1,1
212,212. 여의도역 1번출구 옆,1,0.0,0.0,0.0,0.0,0.0,1,3
213,213. KT앞,31572,8553.0,5738.0,4685.0,18.17433168630432,14.839097934879005,2,2
214,214. 금융감독원 앞,18556,594.0,8469.0,1484.0,45.64022418624704,7.9974132356111225,3,4
215,215. 여의도고교 앞,15292,2965.0,2646.0,3924.0,17.30316505362281,25.66047606591682,3,1
