대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"4213","4213. 마포구중앙도서관 정문 앞",31572,1849,5.86%,6176,19.56%,9230,29.23%
"231","231. 남부고용노동지청 남측",31541,5522,17.51%,6660,21.12%,5619,17.81%
"1617","1617. 하계동 중평어린이공원 앞",31500,8986,28.53%,3910,12.41%,8172,25.94%
"3764","3764. 관문주유소(GS칼택스) 앞",31500,6164,19.57%,5244,16.65%,7549,23.97%
"1569","1569.수유역2번출구",31453,3054,9.71%,6351,20.19%,8488,26.99%
"303","303. 광화문역 1번출구 앞",31377,5568,17.75%,7206,22.97%,5270,16.80%
"796","796.목동아파트 14단지 B상가 앞",31297,7059,22.55%,4475,14.30%,8162,26.08%
"2217","2217.아크로리버뷰 부지 앞",31263,3103,9.93%,4928,15.76%,11857,37.93%
"771","771.목동아파트 703동 앞",31256,3736,11.95%,6043,19.33%,7965,25.48%
"1451","1451. 중랑세무서",31195,3417,10.95%,5971,19.14%,8616,27.62%
"268","268. 그랜드컨벤션센터 앞",31122,3170,10.19%,6080,19.54%,7797,25.05%
