대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"744","744. 신목동역 2번 출구",40741,7620,18.70%,10020,24.59%,8030,19.71%
"1264","1264. 천호역 10번 출구 앞",40738,6028,14.80%,9776,24.00%,10032,24.63%
"5070","5070. 마곡13단지힐스테이트마스터 후문(1320동 앞)",40631,12800,31.50%,4827,11.88%,9223,22.70%
"584","584. 광진광장 교통섬",40596,9982,24.59%,5922,14.59%,8180,20.15%
"5867","5867. H타워 앞",40583,14139,34.84%,8223,20.26%,7780,19.17%
"4509","4509. 서울영상고교 입구",40395,7021,17.38%,5305,13.13%,10007,24.77%
"4540","4540. 목동역 3번 출구",40301,4915,12.20%,9430,23.40%,8664,21.50%
"245","245. 삼성생명 당산사옥 앞",40168,6939,17.27%,8782,21.86%,8167,20.33%
"2623","2623.석촌동 주민센터",40120,7462,18.60%,6318,15.75%,10805,26.93%
"2621","2621. 한성백제역 2번 출구",40094,4357,10.87%,6535,16.30%,14507,36.18%
"5870","5870. LG트윈타워 앞",39905,4204,10.54%,11530,28.89%,9018,22.60%
"4547","4547. 목동역 2번 출구",39903,3844,9.63%,7983,20.01%,9961,24.96%
"1653","1653. 노원역1번출구",39830,2847,7.15%,9292,23.33%,11088,27.84%
"280","280. 양평동6차현대아파트 앞",39736,11105,27.95%,4848,12.20%,9347,23.52%
"4515","4515. 동문굿모닝탑",39680,4578,11.54%,6061,15.27%,11193,28.21%
"1106","1106. 신방화사거리",39587,7492,18.93%,6839,17.28%,9917,25.05%
"631","631. 답십리역 1번출구",39342,7321,18.61%,8872,22.55%,7824,19.89%
"1010","1010. 강동세무서",39256,5086,12.96%,7531,19.18%,9513,24.23%
"5866","5866.포레나 당산",39226,2932,7.47%,8326,21.23%,10840,27.63%
"1650","1650. 중계근린공원내",39150,5245,13.40%,6256,15.98%,10852,27.72%
"4865","4865. 한성백제역 1번출구 뒤",39097,6707,17.15%,6874,17.58%,10458,26.75%
"2723","2723.마곡 필네이처",39086,7238,18.52%,9251,23.67%,7472,19.12%
"1118","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)",39073,5942,15.21%,10216,26.15%,7939,20.32%
"5862","5862. 당산역11번출구",39067,7629,19.53%,9082,23.25%,8632,22.10%
"236","236. 문래동자이아파트 앞",38995,6058,15.54%,5832,14.96%,10406,26.69%
"4514","4514. 목동성당 앞",38862,6120,15.75%,5004,12.88%,10723,27.59%
"4108","4108. 답십리파크자이아파트 앞",38850,10394,26.75%,4820,12.41%,9393,24.18%
"1029","1029. 성내어울터",38449,2279,5.93%,7437,19.34%,11443,29.76%
"731","731. 서울시 도로환경관리센터",38340,3459,9.02%,8243,21.50%,11593,30.24%
"3202","3202.당산롯데캐슬프레스티지",38309,8168,21.32%,6006,15.68%,9989,26.07%
"2919","2919.등나무 근린공원(시립북서울미술관 앞)",38293,2559,6.68%,7149,18.67%,11180,29.20%
"793","793.목동5단지아파트 534동",38209,3997,10.46%,6114,16.00%,11117,29.10%
"788","788.양천구청역 2번출구 옆",38130,5207,13.66%,11643,30.54%,7433,19.49%
"791","791.현대하이페리온",38084,3192,8.38%,6570,17.25%,10586,27.80%
"1293","1293. 석촌호수 서호 사거리",38081,6027,15.83%,6324,16.61%,10282,27.00%
"2720","2720.힐스테이트에코",38052,5442,14.30%,8577,22.54%,7885,20.72%
